"Timestamp","E.5.Country.Origin","Q.2.Role","Q.3.Discipline","Q.4.Fund","Q.5.Seniority","Q.6.Use.Software","Q.7.Importance.Software","Q.8.Developing.Software","Q.9.Training.Software","Q.10.Cost.Software","Q.11.Main.Software","E.1.Job.Title","E.2.Gender","E.3.Contract","E.4.OS","Q.1.Institution","dataOrigin"
"10/14/2014 14:38:17","United Kingdom","I conduct research, I support researchers, I manage researchers or research projects","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","Python, Excel","","Male","Permanent","Mac OS X","Software Sustainability Institute","petition"
"10/14/2014 17:02:44","United Kingdom, United Kingdom","I conduct research, I support researchers, I manage researchers or research projects","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","Yes","Bash, Python, R","Dogsbody","Male","Fixed term","Mac OS X","Software Sustaintability Institute","petition"
"10/14/2014 17:10:41","United Kingdom, United Kingdom","I conduct research, I manage researchers or research projects, I develop software for researchers","Biological, mathematical & physical sciences","BBSRC - Biotechnology and Biological Sciences Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","R","Senior Research Associate","Male","Fixed term","Linux","University","petition"
"10/15/2014 13:04:39","United Kingdom, United Kingdom","I conduct research","Biological, mathematical & physical sciences","BBSRC - Biotechnology and Biological Sciences Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","ImageJ/FIJI, CellPoriler, R","PhD student","Male","Fixed term","Mac OS X","The University of Edinburgh","petition"
"10/15/2014 14:26:11","United Kingdom, United Kingdom","I conduct research, I develop software for researchers","Biological, mathematical & physical sciences","European Molecular Biology Laboratory","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","I'm not involved in bid writing","","PhD candidate","Male","Fixed term","Mac OS X","European Bioinformatics Institute","petition"
"10/15/2014 14:33:55","United Kingdom, United Kingdom","I develop software for researchers","Biological, mathematical & physical sciences","NIH","11-15 years","Yes","My work would require more effort, but it would still be possible","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","","Bioinformatician","Male","Fixed term","Mac OS X","EMBL-EBI","petition"
"10/15/2014 14:42:29","United Kingdom, United Kingdom","I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers","Biological, mathematical & physical sciences","German Alexander von Humboldt Foundation","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","CHEMSHELL, TURBOMOLE, MOLPRO, CHARMM, OPTIM, GMIN, PATHSAMPLE, PYTHON packages, VMD, PYMOL, XMGRACE, MATLAB, MATHEMATICA, PARAVIEW, DLPOLY, DLFIND, ...

And my own codes.","Postdoctoral Research Fellow","Female","Fixed term","Linux and Mac OS X","University of Camrbdige","petition"
"10/15/2014 15:13:54","Canada","I conduct research, I support researchers, I develop software for researchers","Biological, mathematical & physical sciences","","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","MATLAB, Python (Numpy, Scipy), PETSc, ParaView","Research associate","Male","Fixed term","Don't have a preference","Self-employed/looking for work","petition"
"10/15/2014 15:16:49","United Kingdom, United Kingdom","I conduct research, I manage researchers or research projects","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Mainly self-written, but also extensive use of lingpipe, stanford language tools, RASP, ipython notebooks, mallet machine learning toolkit etc.","Senior lecturer","Male","Permanent","Linux","Open University","petition"
"10/15/2014 15:18:46","United States, United States","I conduct research, I develop software for researchers","Engineering & technology","","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","No","Protege, Jenna, Java, MATLAB","Research Assistant","Male","Fixed term","Microsoft Windows","University of Texas at El Paso","petition"
