"Timestamp","Q.3.Discipline","Q.4.Fund","Q.6.Use.Software","Q.7.Importance.Software","Q.8.Developing.Software","Q.9.Training.Software","Q.10.Cost.Software","Q.11.Main.Software","E.1.Job.Title","E.2.Gender","E.4.OS","dataOrigin"
"","","","","","","","","","","","","phd"
"9/9/2014 16:35:33","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","No","No","Latex, mendeley","","","","phd"
"9/9/2014 16:37:17","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","Python, Microsoft Excel, Microsoft Visual Basic for Applications","EngD Researcher","Male","Mac OS X","phd"
"9/9/2014 16:37:30","Medicine, dentistry & health","University central funds","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","MATLAB","PhD researcher","Female","Mac OS X","phd"
"9/9/2014 16:37:54","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","No","Yes - self taught using online resources or books","I'm not involved in bid writing","STISim Drive (driving simulation software)","EngD Research student","Male","Mac OS X","phd"
"9/9/2014 16:38:18","Engineering & technology","NERC - Natural Environment Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","Matlab, R, SigmaPlot, LabView, OceanDataView","PhD Student","Female","Microsoft Windows","phd"
"9/9/2014 16:38:25","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","R","Postgraduate Research Student","Female","Don't have a preference","phd"
"9/9/2014 16:38:45","Biological, mathematical & physical sciences","Cancer Research UK","Yes","It would not be practical to conduct my work without software","No","No","I'm not involved in bid writing","Corel Draw, Graphpad Prism, Lasergene, FlowJo, Reference Manager","PhD student","Female","Microsoft Windows","phd"
"9/9/2014 16:39:56","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","I'm not involved in bid writing","CBMC, LLBMC, matplotlib, Z3, Yices, Boolector, MathSAT, CVC4, Minisat","Research Associate","Male","Linux","phd"
"9/9/2014 16:39:59","Engineering & technology","Industrie","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","No","HiPSTAR, Python","PhD Candidate","Male","Linux","phd"
